"id","name","address","type","createdAt","updatedAt","AdminId"
18,"InvoZone","Johar Town","Software House","2021-12-22 16:21:50.229+05","2021-12-22 16:21:50.24+05",1
24,"Programmers Force","Johar Town","Software House","2021-12-22 17:04:45.154+05","2021-12-22 17:04:45.158+05",1
25,"UCP","Johar Town Lahore","University","2021-12-23 19:39:47.594+05","2021-12-23 19:43:43.522+05",3
29,"Hotel One","Johar Town Lahore","Hotel","2022-01-10 01:51:48.431+05","2022-01-10 14:44:34.094+05",1
34,"Expo Lahore","Johar Town Lahore","Convention Center","2022-01-14 15:26:17.365+05","2022-01-14 15:26:27.713+05",1
